type,num,distance_straight,arc_length,radius,timed
corner,9,,71.7,33.54,FALSE
straight,10_final,299,,,FALSE
straight,1,383,,,TRUE
corner,1A,,73.2,59.21,TRUE
corner,1B,,59.5,31.67,TRUE
straight,2,186,,,TRUE
corner,2,,121,74.17,TRUE
straight,3,128,,,TRUE
corner,3,,141,112.52,TRUE
straight,4,346,,,TRUE
corner,4,,154,76.24,TRUE
straight,5,264,,,TRUE
corner,5,,110,114.43,TRUE
straight,6,423,,,TRUE
corner,6a_corkscrew,,50.2,21.99,TRUE
corner,6b_corkscrew,,66.4,49.34,TRUE
straight,7,68.6,,,TRUE
corner,7,,206,100.9,TRUE
straight,8,96.7,,,TRUE
corner,8,,140,89.6,TRUE
straight,9,179,,,TRUE
corner,9,,71.7,33.54,TRUE
straight,10_final,299,,,TRUE
